,network_type,cv,weight_decay,refit,num_train_ksr,num_test_ksr,AUPRC,AUROC,MCC,F1,ACC,TP,TN,FP,FN,train_loss,val_loss,val_r2,activation,drop_p_prior,drop_p_kki,drop_p_ksr
32,cpd,1,1e-10,4,96729,24379,0.22604561304264975,0.6869780647128837,0.20593081370292218,0.23800100932295679,0.6545822321487698,17921.0,199543.0,108296.0,6458.0,0.015770711291294832,0.015486591185132662,0.7808020909627279,ReLU0,0,0,0
33,weight,1,1e-10,4,96729,24379,0.1037989837444806,0.49487669345775304,0.0011789968096928849,0.07368286771271845,0.8569300668713131,1444.0,216020.0,13372.0,22935.0,0.015770711291294832,0.015486591185132662,0.7808020909627279,ReLU0,0,0,0
34,cpd,1,1e-10,5,96729,24379,0.23126880918435924,0.7021879183929189,0.2183395392686648,0.24255365959401834,0.650079666625812,18742.0,198722.0,111418.0,5637.0,0.015437759960500093,0.01533291939025124,0.7774485846360525,ReLU0,0,0,0
35,weight,1,1e-10,5,96729,24379,0.1040644734248061,0.4954288078550852,0.001187599389260961,0.07013664007582339,0.8602793700525747,1332.0,216132.0,12272.0,23047.0,0.015437759960500093,0.01533291939025124,0.7774485846360525,ReLU0,0,0,0
36,cpd,1,1e-10,6,96729,24379,0.23207000511602213,0.6994744982362161,0.215192662311039,0.2412647213750138,0.6508228660699055,18550.0,198914.0,110844.0,5829.0,0.015225815443465343,0.01586294701943795,0.783869206905365,ReLU0,0,0,0
37,weight,1,1e-10,6,96729,24379,0.10489557911375115,0.49617131013517074,0.0022324534270482,0.06847176616245895,0.8626990486920507,1272.0,216192.0,11503.0,23107.0,0.015225815443465343,0.01586294701943795,0.783869206905365,ReLU0,0,0,0
38,cpd,1,1e-10,7,96729,24379,0.23065861840770938,0.6955174520165193,0.21270322192747076,0.23972406983995012,0.6500971570356641,18453.0,199011.0,111120.0,5926.0,0.01543556791372024,0.01464862764502565,0.7833201984564463,ReLU0,0,0,0
39,weight,1,1e-10,7,96729,24379,0.10557376845154356,0.4967256154226078,0.0029968431762529197,0.06693528492722638,0.864650802170931,1221.0,216243.0,10883.0,23158.0,0.01543556791372024,0.01464862764502565,0.7833201984564463,ReLU0,0,0,0
40,cpd,1,1e-10,8,96729,24379,0.23157075609993333,0.6960565464126149,0.21246559216011954,0.23986504090459068,0.650766385568849,18413.0,199051.0,110736.0,5966.0,0.015258327269783387,0.014598441620667776,0.7830677231152853,ReLU0,0,0,0
41,weight,1,1e-10,8,96729,24379,0.10594510627789534,0.4970342837538744,0.003313127759860632,0.06555555555555556,0.8660316044348159,1180.0,216284.0,10441.0,23199.0,0.015258327269783387,0.014598441620667776,0.7830677231152853,ReLU0,0,0,0
